sample_id,category,description
cucumber_015,cucumber,Mutfakta çeşitli şekillerde kullanılabilen gıda.
cucumber_016,cucumber,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
cucumber_017,cucumber,Vitamin ve mineral açısından zengin ürün.
cucumber_018,cucumber,Doğal şekil ve renkte bir ürün.
cucumber_019,cucumber,"Doğal, organik ve kaliteli bir ürün."
cucumber_020,cucumber,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
cucumber_021,cucumber,"Besin değeri yüksek, lezzetli bir gıda."
cucumber_022,cucumber,"Taze, sağlıklı ve besleyici bir ürün."
cucumber_023,cucumber,Doğal renk ve dokuda bir ürün.
cucumber_024,cucumber,Sağlıklı beslenme için önemli bir gıda maddesi.
mandarin_000,mandarin,Sağlıklı beslenme için önemli bir gıda maddesi.
mandarin_001,mandarin,"Taze, sağlıklı ve besleyici bir ürün."
mandarin_002,mandarin,Sağlıklı beslenme için önemli bir gıda maddesi.
mandarin_003,mandarin,"Taze, sağlıklı ve besleyici bir ürün."
mandarin_004,mandarin,Sağlıklı ve dengeli beslenme için ideal gıda.
mandarin_005,mandarin,"Taze, sulu ve lezzetli bir ürün."
mandarin_006,mandarin,"Taze, sağlıklı ve besleyici gıda."
mandarin_007,mandarin,"Vitamin açısından zengin, sağlıklı gıda."
mandarin_008,mandarin,Vitamin ve mineral deposu bir ürün.
mandarin_009,mandarin,Doğal şekil ve renkte bir ürün.
mandarin_010,mandarin,"Besin değeri yüksek, lezzetli bir gıda."
mandarin_011,mandarin,"Taze, sağlıklı ve besleyici bir ürün."
mandarin_012,mandarin,Sağlıklı beslenme için önemli bir gıda maddesi.
mandarin_013,mandarin,"Taze, sulu ve lezzetli bir ürün."
mandarin_014,mandarin,Doğal renk ve dokuda bir ürün.
mandarin_015,mandarin,"Taze, sağlıklı ve besleyici bir ürün."
mandarin_016,mandarin,Sağlıklı ve dengeli beslenme için ideal gıda.
mandarin_017,mandarin,"Besin değeri yüksek, lezzetli bir gıda."
mandarin_018,mandarin,Vitamin ve mineral açısından zengin ürün.
mandarin_019,mandarin,Doğal renk ve dokuda bir ürün.
mandarin_020,mandarin,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
mandarin_021,mandarin,"Vitamin açısından zengin, sağlıklı gıda."
mandarin_022,mandarin,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
mandarin_023,mandarin,"Vitamin açısından zengin, sağlıklı gıda."
mandarin_024,mandarin,Sağlıklı ve dengeli beslenme için ideal gıda.
potato_000,potato,"Besleyici değeri yüksek, lezzetli bir gıda maddesi."
potato_001,potato,"Taze, sulu ve lezzetli bir ürün."
potato_002,potato,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
potato_003,potato,"Vitamin açısından zengin, sağlıklı gıda."
potato_004,potato,"Besin değeri yüksek, lezzetli bir gıda."
potato_005,potato,"Renkli, çeşitli şekillerde olabilen gıda maddesi."
potato_006,potato,Sağlıklı beslenme için önemli bir gıda maddesi.
potato_007,potato,Mutfakta çeşitli yemeklerde kullanılabilen gıda.
potato_008,potato,"Doğal, organik ve lezzetli bir gıda."
potato_009,potato,"Taze, sağlıklı ve besleyici bir ürün."
potato_010,potato,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
potato_011,potato,Doğal renk ve dokuda bir ürün.
potato_012,potato,"Doğal, organik ve lezzetli bir gıda."
potato_013,potato,Vitamin ve mineral deposu bir ürün.
potato_014,potato,"Taze, sağlıklı ve besleyici bir ürün."
potato_015,potato,"Doğal, organik ve lezzetli bir gıda."
potato_016,potato,Doğal şekil ve renkte bir ürün.
potato_017,potato,"Taze, sağlıklı ve besleyici bir ürün."
potato_018,potato,"Taze, sulu ve lezzetli bir ürün."
potato_019,potato,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
potato_020,potato,Taze ve kaliteli bir ürün.
potato_021,potato,Mutfakta çeşitli şekillerde kullanılabilen gıda.
potato_022,potato,"Taze ve kaliteli, mutfakta çok kullanılan ürün."
potato_023,potato,Doğal renk ve dokuda bir ürün.
potato_024,potato,"Vitamin açısından zengin, sağlıklı gıda."
